Quarter,GDP_m,CPI_index_2015,WeightedPolicyRate,Year,Quarter_Num,Inflation,GDP_log_change,PolicyRate_diff
2004Q1,322778.0,77.16666666666667,3.9038461538461537,2004,1,0.0,0.007275970508326068,0.2516722408026757
2004Q2,329732.0,77.8,4.211538461538462,2004,2,0.00817384632616669,0.02131542288160837,0.30769230769230793
2004Q3,331592.0,77.83333333333333,4.654891304347826,2004,3,0.0004283572564958149,0.005625094218441262,0.4433528428093645
2004Q4,338535.0,78.33333333333333,4.75,2004,4,0.006403437035206849,0.020722186830640865,0.09510869565217384
2005Q1,341254.0,78.53333333333333,4.75,2005,1,0.0025499376332733803,0.007999583693790058,0.0
2005Q2,348491.0,79.3,4.75,2005,2,0.009714965531480324,0.02098533686078241,0.0
2005Q3,352001.0,79.7,4.592391304347826,2005,3,0.005031457155366681,0.010021611600176783,-0.15760869565217384
2005Q4,357003.0,80.10000000000001,4.5,2005,4,0.005006268278144432,0.014110168602522677,-0.09239130434782616
2006Q1,361213.0,80.2,4.5,2006,1,0.0012476607981550814,0.011723626930130848,0.0
2006Q2,367042.0,81.23333333333333,4.5,2006,2,0.012802157090582078,0.016008470887737047,0.0
2006Q3,370883.0,81.73333333333333,4.6603260869565215,2006,3,0.006136243430895583,0.010410366064842691,0.1603260869565215
2006Q4,372900.0,82.26666666666667,4.894021739130435,2006,4,0.006504087969176453,0.0054236381963885805,0.23369565217391308
2007Q1,376958.0,82.43333333333334,5.222222222222222,2007,1,0.00202388249613783,0.010823488221600286,0.32820048309178773
2007Q2,386144.0,83.3,5.392857142857143,2007,2,0.010458663313536398,0.024076581484814952,0.17063492063492092
2007Q3,389291.0,83.33333333333333,5.739130434782608,2007,3,0.00040008002133973264,0.008116779040312494,0.3462732919254652
2007Q4,392244.0,84.13333333333333,5.679347826086956,2007,4,0.009554212804811613,0.007556959197534852,-0.05978260869565233
2008Q1,397800.0,84.53333333333333,5.351648351648351,2008,1,0.004743091896012963,0.014065271290833792,-0.3276994744386048
2008Q2,400685.0,86.09999999999998,5.024725274725275,2008,2,0.01836347753872314,0.00722621603189566,-0.32692307692307665
2008Q3,399994.0,87.06666666666666,5.0,2008,3,0.011164697300481308,-0.0017260354562864677,-0.024725274725274637
2008Q4,395121.0,87.23333333333333,3.3206521739130435,2008,4,0.001912412133824759,-0.012257499889617662,-1.6793478260869565
2009Q1,386874.0,87.03333333333335,1.0833333333333333,2009,1,-0.00229533383101721,-0.021092988484559427,-2.23731884057971
2009Q2,386553.0,87.83333333333333,0.5,2009,2,0.00914989227633356,-0.0008300719225768916,-0.5833333333333333
2009Q3,388596.0,88.2,0.5,2009,3,0.0041658836994384885,0.005271256830853943,0.0
2009Q4,386779.0,88.63333333333333,0.5,2009,4,0.004901046568118517,-0.004686773047863468,0.0
2010Q1,396176.0,89.06666666666666,0.5,2010,1,0.004877143413517082,0.02400508648102928,0.0
2010Q2,401223.0,90.06666666666666,0.5,2010,2,0.011164983863607425,0.012658825497798176,0.0
2010Q3,404365.0,90.26666666666668,0.5,2010,3,0.002218115512022223,0.007800552967974994,0.0
2010Q4,406789.0,91.06666666666666,0.5,2010,4,0.008823586658514238,0.005976688065638669,0.0
2011Q1,414806.0,92.23333333333332,0.5,2011,1,0.01272975909624563,0.0195163175589137,0.0
2011Q2,412364.0,93.43333333333334,0.5,2011,2,0.012926571377862572,-0.005904486610027959,0.0
2011Q3,416115.0,93.96666666666664,0.5,2011,3,0.005691939949323377,0.009055209922777863,0.0
2011Q4,419305.0,94.73333333333332,0.5,2011,4,0.008125817542933511,0.007636914376096371,0.0
2012Q1,424540.0,95.1,0.5,2012,1,0.0038630425564543103,0.0124076510743798,0.0
2012Q2,424939.0,95.8,0.5,2012,2,0.007333715425470011,0.0009393993950226331,0.0
2012Q3,430964.0,96.06666666666666,0.5,2012,3,0.002779709920497808,0.014078930721744598,0.0
2012Q4,433272.0,97.03333333333336,0.5,2012,4,0.010012167186156162,0.005341146369401528,0.0
2013Q1,438283.0,97.43333333333334,0.5,2013,1,0.004113821365621995,0.011499114150607781,0.0
2013Q2,442095.0,98.06666666666666,0.5,2013,2,0.006479136050137058,0.008659970656719196,0.0
2013Q3,448800.0,98.36666666666667,0.5,2013,3,0.0030544737815567657,0.015052563098691962,0.0
2013Q4,452183.0,98.93333333333334,0.5,2013,4,0.005744229344331941,0.007509610943749578,0.0
2014Q1,457683.0,99.03333333333336,0.5,2014,1,0.0010102711753363636,0.012089839584668027,0.0
2014Q2,461549.0,99.66666666666669,0.5,2014,2,0.00637479092212434,0.008411419084408678,0.0
2014Q3,470624.0,99.83333333333331,0.5,2014,3,0.001670844164816998,0.019471249896591658,0.0
2014Q4,472658.0,99.96666666666664,0.5,2014,4,0.0013346681994592657,0.0043126088538958385,0.0
2015Q1,474680.0,99.43333333333334,0.5,2015,1,-0.005349394234260174,0.004268810225138253,0.0
2015Q2,476591.0,100.03333333333336,0.5,2015,2,0.006016060925619016,0.004017787929436523,0.0
2015Q3,479924.0,100.16666666666669,0.5,2015,3,0.0013320015289410847,0.0069690773061825695,0.0
2015Q4,485256.0,100.33333333333331,0.5,2015,4,0.001662510773613235,0.011048828700552349,0.0
2016Q1,489683.0,100.13333333333333,0.5,2016,1,-0.0019953448588960754,0.009081656240864433,0.0
2016Q2,493710.0,100.8,0.5,2016,2,0.006635724415398059,0.008190057301426634,0.0
2016Q3,500801.0,101.2,0.3423913043478261,2016,3,0.003960401216096976,0.014260516313607141,-0.1576086956521739
2016Q4,507451.0,101.86666666666667,0.25,2016,4,0.006566011770890334,0.013191337941378833,-0.09239130434782611
2017Q1,513814.0,102.3,0.25,2017,1,0.004244904333325472,0.01246117773058053,0.0
2017Q2,517656.0,103.4,0.25,2017,2,0.010695289116747553,0.0074495967272163455,0.0
2017Q3,521257.0,103.93333333333334,0.25,2017,3,0.005144705881237499,0.006932273291250013,0.0
2017Q4,529755.0,104.7,0.4130434782608695,2017,4,0.007349449920925011,0.016171433238779898,0.1630434782608695
2018Q1,531131.0,104.83333333333331,0.5,2018,1,0.001272669595894449,0.002594059628666656,0.08695652173913049
2018Q2,535707.0,105.76666666666668,0.5,2018,2,0.008863622448655128,0.008578674669783126,0.0
2018Q3,540205.0,106.33333333333331,0.6630434782608695,2018,3,0.0053434041956936795,0.008361327330190349,0.1630434782608695
2018Q4,545261.0,106.9,0.75,2018,4,0.005315003914264871,0.009315881963392059,0.08695652173913049
2019Q1,549060.0,106.73333333333332,0.75,2019,1,-0.0015603061364943827,0.006943146045095716,0.0
2019Q2,556104.0,107.8,0.75,2019,2,0.009944146580392221,0.012747601963216226,0.0
2019Q3,562999.0,108.23333333333332,0.75,2019,3,0.004011731965793075,0.012322524820621794,0.0
2019Q4,565758.0,108.43333333333334,0.75,2019,4,0.00184615437050617,0.004888572995923823,0.0
2020Q1,555891.0,108.5,0.6131868131868131,2020,1,0.00061462816931801,-0.017594193068960706,-0.13681318681318688
2020Q2,476160.0,108.66666666666669,0.0999999999999999,2020,2,0.001534919718083394,-0.15481829966146954,-0.5131868131868133
2020Q3,533806.0,109.06666666666666,0.1,2020,3,0.003674223361884721,0.11427854486743705,1.1102230246251565e-16
2020Q4,537629.0,109.23333333333332,0.1,2020,4,0.001526950976177055,0.0071362541343145125,0.0
2021Q1,537992.0,109.46666666666664,0.1,2021,1,0.0021338218735040826,0.0006749589563259661,0.0
2021Q2,568521.0,110.93333333333334,0.0999999999999999,2021,2,0.013309331368779986,0.05519456165958481,-1.1102230246251565e-16
2021Q3,581805.0,111.96666666666664,0.1,2021,3,0.009271787671193188,0.023097088220401574,1.1102230246251565e-16
2021Q4,597082.0,114.06666666666666,0.1260869565217391,2021,4,0.01858186483984703,0.0259191173515827,0.02608695652173909
2022Q1,610346.0,115.5,0.45,2022,1,0.012487457171864058,0.021971552083236645,0.3239130434782609
2022Q2,625467.0,119.73333333333332,0.9478021978021978,2022,2,0.03599651779808699,0.024472561243904067,0.49780219780219775
2022Q3,636553.0,121.76666666666668,1.6141304347826086,2022,3,0.01683959737319274,0.017569111680595384,0.6663282369804109
2022Q4,654062.0,124.8,2.823369565217391,2022,4,0.024605810802199812,0.02713446578503209,1.2092391304347825
2023Q1,665965.0,125.86666666666667,3.8472222222222223,2023,1,0.0085106896679088,0.018034968419815556,1.0238526570048312
2023Q2,677760.0,128.93333333333334,4.43956043956044,2023,2,0.024072329307793794,0.017556126366084612,0.5923382173382175
2023Q3,683791.0,129.5,5.1603260869565215,2023,3,0.004385406228562871,0.00885907240239625,0.7207656473960817
2023Q4,683669.0,130.23333333333332,5.25,2023,4,0.005646832253321854,-0.00017843300765463255,0.08967391304347849
2024Q1,698228.0,130.79999999999998,5.25,2024,1,0.004341725630183646,0.021071814621411278,0.0
2024Q2,706477.0,132.63333333333333,5.25,2024,2,0.013918989741674714,0.011744949757678924,0.0
2024Q3,719085.0,133.26666666666668,5.084239130434782,2024,3,0.004763704633417021,0.01768892373647546,-0.16576086956521774
2024Q4,727199.0,134.66666666666666,4.850543478260869,2024,4,0.010450455894850386,0.011220597241514696,-0.23369565217391308
