Quarter,GDP_m,CPI_index_2015,WeightedPolicyRate,Inflation,GDP_log_change,Year,Quarter_Num
1993Q3,193552.0,63.699999999999996,5.875,0.0026198600261251315,0.01956478668938466,1993,3
1993Q4,196921.0,63.93333333333334,5.663043478260869,0.003656311203110718,0.017256422863960452,1993,4
1994Q1,199796.0,64.2,5.230555555555555,0.004162336914687259,0.014494212912577353,1994,1
1994Q2,200691.0,65.03333333333333,5.125,0.012896748265040614,0.004469565753456806,1994,2
1994Q3,203292.0,65.0,5.228260869565218,-0.0005126890653190941,0.01287695739932282,1994,3
1994Q4,207015.0,65.26666666666667,5.760869565217392,0.004094171532663893,0.018147885261303287,1994,4
1995Q1,208657.0,65.73333333333333,6.447222222222222,0.00712471207212495,0.007900501072205302,1995,1
1995Q2,210748.0,66.63333333333334,6.625,0.013598799337819045,0.009971351439654441,1995,2
1995Q3,214616.0,66.89999999999999,6.625,0.003994014295938264,0.018187277813304092,1995,3
1995Q4,217824.0,67.23333333333333,6.573369565217392,0.004970189157873506,0.014837012532264993,1995,4
1996Q1,221433.0,67.66666666666667,6.122252747252747,0.00642453408162158,0.01643266339243965,1996,1
1996Q2,226187.0,68.53333333333333,5.868818681318682,0.012726554539222334,0.021242030108135523,1996,2
1996Q3,229912.0,68.66666666666667,5.6875,0.001943635208570882,0.01633453624804382,1996,3
1996Q4,232461.0,69.23333333333333,5.858695652173913,0.008218562092485726,0.011025842007514441,1996,4
1997Q1,232749.0,69.3,5.9375,0.0009624639819003633,0.0012381506708472045,1997,1
1997Q2,235998.0,69.93333333333334,6.198489010989011,0.009097501098230154,0.0138627107209075,1997,2
1997Q3,243388.0,70.26666666666667,6.875,0.00475512070500983,0.03083354736341981,1997,3
1997Q4,241270.0,70.63333333333333,7.1521739130434785,0.0052046486070462805,-0.008740239439493536,1997,4
1998Q1,245958.0,70.60000000000001,7.25,-0.00047203210694668485,0.019244151311372804,1998,1
1998Q2,248081.0,71.36666666666667,7.324175824175824,0.010800762428330835,0.008594516093095805,1998,2
1998Q3,250560.0,71.43333333333334,7.5,0.0009337068838943807,0.009943107060614409,1998,3
1998Q4,253902.0,71.83333333333333,6.8396739130434785,0.005584007064270757,0.01324995299414411,1998,4
1999Q1,255903.0,72.0,5.705555555555556,0.0023174981403624173,0.00785010062986835,1999,1
1999Q2,258404.0,72.7,5.211538461538462,0.00967526552341802,0.009725785238344997,1999,2
1999Q3,261604.0,72.60000000000001,5.0625,-0.0013764627087224923,0.012307658321226711,1999,3
1999Q4,267337.0,72.93333333333334,5.407608695652174,0.004580860048966073,0.021678124829046297,1999,4
2000Q1,272305.0,72.8,5.857142857142857,-0.0018298266770768734,0.01841272679668826,2000,1
2000Q2,273916.0,73.46666666666665,6.0,0.0091158334080097,0.0058987284312603805,2000,2
2000Q3,276174.0,73.46666666666665,6.0,0.0,0.008209611816216267,2000,3
2000Q4,278357.0,73.93333333333334,6.0,0.006331997637507136,0.00787336064879085,2000,4
2001Q1,282889.0,73.7,5.855555555555555,-0.0031609870528654938,0.01615013204600757,2001,1
2001Q2,286728.0,74.76666666666667,5.368131868131868,0.014369353662761597,0.013479436628999864,2001,2
2001Q3,288166.0,74.76666666666667,5.051630434782608,0.0,0.005002671793528535,2001,3
2001Q4,288352.0,74.93333333333334,4.2146739130434785,0.0022266764933736027,0.000645253076065444,2001,4
2002Q1,292486.0,75.0,4.0,0.0008892841848835431,0.01423484622593918,2002,1
2002Q2,295516.0,75.73333333333333,4.0,0.009730284642576414,0.010306178617845774,2002,2
2002Q3,299230.0,75.8,4.0,0.0008798944694392574,0.012489527557152158,2002,3
2002Q4,304207.0,76.16666666666667,4.0,0.004825629017823907,0.01649588228373311,2002,4
2003Q1,307485.0,76.13333333333334,3.85,-0.00043773255240431297,0.010717914831664288,2003,1
2003Q2,312948.0,76.76666666666667,3.75,0.008284329044784045,0.01761073698407678,2003,2
2003Q3,317463.0,76.8,3.5244565217391304,0.0004341219950969588,0.014324233555857546,2003,3
2003Q4,320438.0,77.16666666666667,3.652173913043478,0.004762944704553185,0.00932753380049256,2003,4
2004Q1,322778.0,77.16666666666667,3.9038461538461537,0.0,0.007275970508326068,2004,1
2004Q2,329732.0,77.8,4.211538461538462,0.00817384632616669,0.02131542288160837,2004,2
2004Q3,331592.0,77.83333333333333,4.654891304347826,0.0004283572564958149,0.005625094218441262,2004,3
2004Q4,338535.0,78.33333333333333,4.75,0.006403437035206849,0.020722186830640865,2004,4
2005Q1,341254.0,78.53333333333333,4.75,0.0025499376332733803,0.007999583693790058,2005,1
2005Q2,348491.0,79.3,4.75,0.009714965531480324,0.02098533686078241,2005,2
2005Q3,352001.0,79.7,4.592391304347826,0.005031457155366681,0.010021611600176783,2005,3
2005Q4,357003.0,80.10000000000001,4.5,0.005006268278144432,0.014110168602522677,2005,4
2006Q1,361213.0,80.2,4.5,0.0012476607981550814,0.011723626930130848,2006,1
2006Q2,367042.0,81.23333333333333,4.5,0.012802157090582078,0.016008470887737047,2006,2
2006Q3,370883.0,81.73333333333333,4.6603260869565215,0.006136243430895583,0.010410366064842691,2006,3
2006Q4,372900.0,82.26666666666667,4.894021739130435,0.006504087969176453,0.0054236381963885805,2006,4
2007Q1,376958.0,82.43333333333334,5.222222222222222,0.00202388249613783,0.010823488221600286,2007,1
2007Q2,386144.0,83.3,5.392857142857143,0.010458663313536398,0.024076581484814952,2007,2
2007Q3,389291.0,83.33333333333333,5.739130434782608,0.00040008002133973264,0.008116779040312494,2007,3
2007Q4,392244.0,84.13333333333333,5.679347826086956,0.009554212804811613,0.007556959197534852,2007,4
2008Q1,397800.0,84.53333333333333,5.351648351648351,0.004743091896012963,0.014065271290833792,2008,1
2008Q2,400685.0,86.09999999999998,5.024725274725275,0.01836347753872314,0.00722621603189566,2008,2
2008Q3,399994.0,87.06666666666666,5.0,0.011164697300481308,-0.0017260354562864677,2008,3
2008Q4,395121.0,87.23333333333333,3.3206521739130435,0.001912412133824759,-0.012257499889617662,2008,4
2009Q1,386874.0,87.03333333333335,1.0833333333333333,-0.00229533383101721,-0.021092988484559427,2009,1
2009Q2,386553.0,87.83333333333333,0.5,0.00914989227633356,-0.0008300719225768916,2009,2
2009Q3,388596.0,88.2,0.5,0.0041658836994384885,0.005271256830853943,2009,3
2009Q4,386779.0,88.63333333333333,0.5,0.004901046568118517,-0.004686773047863468,2009,4
2010Q1,396176.0,89.06666666666666,0.5,0.004877143413517082,0.02400508648102928,2010,1
2010Q2,401223.0,90.06666666666666,0.5,0.011164983863607425,0.012658825497798176,2010,2
2010Q3,404365.0,90.26666666666667,0.5,0.0022181155120213347,0.007800552967974994,2010,3
2010Q4,406789.0,91.06666666666666,0.5,0.008823586658515126,0.005976688065638669,2010,4
2011Q1,414806.0,92.23333333333333,0.5,0.01272975909624563,0.0195163175589137,2011,1
2011Q2,412364.0,93.43333333333334,0.5,0.012926571377862572,-0.005904486610027959,2011,2
2011Q3,416115.0,93.96666666666665,0.5,0.005691939949324265,0.009055209922777863,2011,3
2011Q4,419305.0,94.73333333333333,0.5,0.008125817542933511,0.007636914376096371,2011,4
2012Q1,424540.0,95.10000000000001,0.5,0.003863042556453422,0.0124076510743798,2012,1
2012Q2,424939.0,95.8,0.5,0.007333715425470011,0.0009393993950226331,2012,2
2012Q3,430964.0,96.06666666666666,0.5,0.002779709920497808,0.014078930721744598,2012,3
2012Q4,433272.0,97.03333333333335,0.5,0.010012167186156162,0.005341146369401528,2012,4
2013Q1,438283.0,97.43333333333334,0.5,0.004113821365621995,0.011499114150607781,2013,1
2013Q2,442095.0,98.06666666666666,0.5,0.006479136050137058,0.008659970656719196,2013,2
2013Q3,448800.0,98.36666666666667,0.5,0.0030544737815567657,0.015052563098691962,2013,3
2013Q4,452183.0,98.93333333333334,0.5,0.005744229344331941,0.007509610943749578,2013,4
2014Q1,457683.0,99.03333333333335,0.5,0.0010102711753363636,0.012089839584668027,2014,1
2014Q2,461549.0,99.66666666666667,0.5,0.00637479092212434,0.008411419084408678,2014,2
2014Q3,470624.0,99.83333333333333,0.5,0.0016708441648178862,0.019471249896591658,2014,3
2014Q4,472658.0,99.96666666666665,0.5,0.0013346681994592657,0.0043126088538958385,2014,4
2015Q1,474680.0,99.43333333333334,0.5,-0.005349394234261062,0.004268810225138253,2015,1
2015Q2,476591.0,100.03333333333335,0.5,0.006016060925619016,0.004017787929436523,2015,2
2015Q3,479924.0,100.16666666666667,0.5,0.0013320015289410847,0.0069690773061825695,2015,3
2015Q4,485256.0,100.33333333333333,0.5,0.001662510773613235,0.011048828700552349,2015,4
2016Q1,489683.0,100.13333333333333,0.5,-0.0019953448588960754,0.009081656240864433,2016,1
2016Q2,493710.0,100.8,0.5,0.006635724415398059,0.008190057301426634,2016,2
2016Q3,500801.0,101.2,0.3423913043478261,0.003960401216096976,0.014260516313607141,2016,3
2016Q4,507451.0,101.86666666666667,0.25,0.006566011770890334,0.013191337941378833,2016,4
2017Q1,513814.0,102.3,0.25,0.004244904333325472,0.01246117773058053,2017,1
2017Q2,517656.0,103.39999999999999,0.25,0.010695289116747553,0.0074495967272163455,2017,2
2017Q3,521257.0,103.93333333333334,0.25,0.005144705881237499,0.006932273291250013,2017,3
2017Q4,529755.0,104.7,0.4130434782608695,0.007349449920925011,0.016171433238779898,2017,4
2018Q1,531131.0,104.83333333333333,0.5,0.001272669595894449,0.002594059628666656,2018,1
2018Q2,535707.0,105.76666666666667,0.5,0.00886362244865424,0.008578674669783126,2018,2
2018Q3,540205.0,106.33333333333333,0.6630434782608695,0.005343404195695456,0.008361327330190349,2018,3
2018Q4,545261.0,106.89999999999999,0.75,0.005315003914263983,0.009315881963392059,2018,4
2019Q1,549060.0,106.73333333333333,0.75,-0.0015603061364943827,0.006943146045095716,2019,1
2019Q2,556104.0,107.8,0.75,0.009944146580392221,0.012747601963216226,2019,2
2019Q3,562999.0,108.23333333333333,0.75,0.004011731965793075,0.012322524820621794,2019,3
2019Q4,565758.0,108.43333333333334,0.75,0.00184615437050617,0.004888572995923823,2019,4
2020Q1,555891.0,108.5,0.6131868131868131,0.00061462816931801,-0.017594193068960706,2020,1
2020Q2,476160.0,108.66666666666667,0.0999999999999999,0.001534919718083394,-0.15481829966146954,2020,2
2020Q3,533806.0,109.06666666666666,0.1,0.003674223361884721,0.11427854486743705,2020,3
2020Q4,537629.0,109.23333333333333,0.1,0.001526950976177055,0.0071362541343145125,2020,4
2021Q1,537992.0,109.46666666666665,0.1,0.0021338218735040826,0.0006749589563259661,2021,1
2021Q2,568521.0,110.93333333333334,0.0999999999999999,0.013309331368779986,0.05519456165958481,2021,2
2021Q3,581805.0,111.96666666666665,0.1,0.009271787671194076,0.023097088220401574,2021,3
2021Q4,597082.0,114.06666666666666,0.1260869565217391,0.01858186483984614,0.0259191173515827,2021,4
2022Q1,610346.0,115.5,0.45,0.012487457171864058,0.021971552083236645,2022,1
2022Q2,625467.0,119.73333333333333,0.9478021978021978,0.03599651779808699,0.024472561243904067,2022,2
2022Q3,636553.0,121.76666666666667,1.6141304347826086,0.01683959737319185,0.017569111680595384,2022,3
2022Q4,654062.0,124.8,2.823369565217391,0.0246058108022007,0.02713446578503209,2022,4
2023Q1,665965.0,125.86666666666667,3.8472222222222223,0.0085106896679088,0.018034968419815556,2023,1
2023Q2,677760.0,128.93333333333334,4.43956043956044,0.024072329307793794,0.017556126366084612,2023,2
2023Q3,683791.0,129.5,5.1603260869565215,0.004385406228562871,0.00885907240239625,2023,3
2023Q4,683669.0,130.23333333333332,5.25,0.005646832253321854,-0.00017843300765463255,2023,4
2024Q1,698228.0,130.79999999999998,5.25,0.004341725630183646,0.021071814621411278,2024,1
2024Q2,706477.0,132.63333333333333,5.25,0.013918989741674714,0.011744949757678924,2024,2
2024Q3,719085.0,133.26666666666668,5.084239130434782,0.004763704633417021,0.01768892373647546,2024,3
2024Q4,727199.0,134.66666666666666,4.850543478260869,0.010450455894850386,0.011220597241514696,2024,4
